   base_score  dyn_score   base_ppl    dyn_ppl
0           4          4  11.272856   7.412930
1           4          4   7.401974   6.128608
2           1          1   3.867610   5.755356
3           1          4   5.075853   6.708904
4           4          4   5.339067   5.024520
5           1          4   9.458309  10.051646
6           4          4   5.126367   9.068365
7           4          4   6.632552   6.922109
8           1          4   6.972291   7.675250
9           1          3   3.815027   4.390190
