Trait,Layer,Top_Tokens,Bottom_Tokens
openness,0,"'gorith', 'ֵ', 'kem', 'RF', 'ingår'","'yar', 'cha', 'ouri', 'yo', 'vier'"
openness,1,"'sembly', '度', 'pository', '�', 'sung'","'enough', 'ices', 'ahn', 'yar', 'yo'"
openness,2,"'贵', 'péri', 'pository', 'eder', 'lica'","'bother', 'necessarily', 'anymore', 'because', 'mention'"
openness,3,"'贵', 'ٰ', 'ournal', 'ľ', 'besk'","'necessarily', 'shy', 'bother', 'anymore', 'except'"
openness,4,"'贵', 'ٰ', 'unic', '/******/', 'rift'","'bother', 'necessarily', 'shy', 'yo', 'anymore'"
openness,5,"'ٰ', '贵', 'giornata', '才', 'unic'","'anymore', 'necessarily', 'bother', 'unless', 'shy'"
openness,6,"'hopefully', 'delight', '贵', '才', '塞'","'anymore', 'bother', 'unless', 'necessarily', 'alo'"
openness,7,"'delight', 'hopefully', 'shared', '才', 'linked'","'anymore', 'necessarily', 'bother', 'shy', 'ices'"
openness,8,"'delight', '才', 'shared', 'creativity', 'unic'","'anymore', 'necessarily', 'bother', 'straightforward', 'shy'"
openness,9,"'delight', 'creativity', 'inspired', 'gorgeous', 'beautiful'","'anymore', 'necessarily', 'nor', 'usual', 'straightforward'"
openness,10,"'delight', 'creativity', 'creative', 'inspired', 'beautiful'","'anymore', 'straightforward', 'nor', 'usual', 'esa'"
openness,11,"'delight', 'creativity', 'creative', 'inspired', '�'","'anymore', 'straightforward', 'unless', 'nor', 'usual'"
openness,12,"'delight', 'creativity', 'creative', 'inspired', 'gle'","'anymore', 'unless', 'necessarily', 'straightforward', 'nor'"
openness,13,"'creativity', 'delight', 'inspired', 'creative', 'delicious'","'anymore', 'unless', 'necessarily', 'nor', 'straightforward'"
openness,14,"'delight', 'creativity', 'inspired', 'creative', '�'","'anymore', 'unless', 'necessarily', 'nor', 'bother'"
openness,15,"'delight', 'inspired', 'creativity', 'beautifully', 'creative'","'anymore', 'unless', 'bother', 'Unless', 'necessarily'"
openness,16,"'delight', 'inspired', 'creativity', 'creative', 'beautifully'","'anymore', 'nor', 'unless', 'Unless', 'straightforward'"
openness,17,"'delight', 'inspired', 'creativity', 'creative', 'beautifully'","'anymore', 'unless', 'nor', 'Unless', 'necessarily'"
openness,18,"'delight', 'inspired', 'creativity', 'beautifully', 'creative'","'anymore', 'nor', 'unless', 'necessarily', 'Unless'"
openness,19,"'delight', 'inspired', 'beautifully', 'insp', 'creative'","'anymore', 'nor', 'bother', 'necessarily', 'unless'"
openness,20,"'inspired', 'delight', 'beautifully', 'insp', 'creative'","'anymore', 'necessarily', 'bother', 'unless', 'nor'"
openness,21,"'inspired', 'delight', 'beautifully', 'insp', 'inspiration'","'anymore', 'bother', 'necessarily', 'unless', 'nor'"
openness,22,"'inspired', 'delight', 'beautifully', 'creative', 'insp'","'anymore', 'bother', 'unless', 'necessarily', 'nor'"
openness,23,"'inspired', 'delight', 'beautifully', 'creative', 'inspiration'","'anymore', 'bother', 'necessarily', 'nor', 'unless'"
openness,24,"'inspired', 'delight', 'beautifully', 'inspiration', 'creative'","'anymore', 'nor', 'necessarily', 'bother', 'anybody'"
openness,25,"'inspired', 'delight', 'inspiration', 'beautifully', 'insp'","'anymore', 'necessarily', 'nor', 'bother', 'anybody'"
openness,26,"'inspired', 'delight', 'beautifully', 'inspiration', 'insp'","'anymore', 'bother', 'necessarily', 'unless', 'anybody'"
openness,27,"'inspired', 'delight', 'beautifully', 'inspiration', 'insp'","'anymore', 'bother', 'necessarily', 'nor', 'unless'"
openness,28,"'inspired', 'delight', 'beautifully', 'inspiration', 'creative'","'anymore', 'bother', 'nor', 'unless', 'anyway'"
openness,29,"'inspired', 'beautifully', 'delight', 'inspiration', 'creative'","'anymore', 'unless', 'bother', 'anyway', 'anybody'"
openness,30,"'inspired', 'beautifully', 'delight', 'inspiration', 'insp'","'anymore', 'unless', 'bother', 'anybody', 'anyway'"
openness,31,"'inspired', 'beautifully', 'inspiration', 'delight', 'insp'","'anymore', 'unless', 'bother', 'anybody', 'Unless'"
conscientiousness,0,"'hör', 'тва', 'pless', 'gos', 'quel'","'/******/', 'ueto', 'inton', 'anter', 'North'"
conscientiousness,1,"'amazonaws', 'лко', 'igne', 'icrosoft', 'hip'","'ueto', 'corners', 'ugno', 'because', 'like'"
conscientiousness,2,"'vess', 'igne', 'péri', '़', 'ņ'","'like', 'because', 'tucked', 'pict', 'ties'"
conscientiousness,3,"'vess', '̂', 'besk', 'biologie', 'ņ'","'yy', 'gonna', 'chill', 'ude', 'expecting'"
conscientiousness,4,"'besk', '̂', 'biologie', 'vess', 'ņ'","'gonna', 'yy', 'й', 'gotta', 'yo'"
conscientiousness,5,"'plaatst', 'besk', 'vess', 'ٹ', 'artikel'","'gonna', 'randomly', 'bother', 'ude', 'chill'"
conscientiousness,6,"'agre', 'plaatst', 'artikel', 'vess', '̇'","'randomly', 'bother', 'wait', 'й', 'random'"
conscientiousness,7,"'agre', 'affe', '택', 'orsz', '̇'","'os', 'like', 'bother', 'й', 'wait'"
conscientiousness,8,"'̂', 'affe', 'orsz', '택', 'ļ'","'bother', 'like', 'emi', 'anyway', 'os'"
conscientiousness,9,"'택', 'kennis', 'ļ', 'indi', 'orsz'","'like', 'emi', 'gonna', 'й', 'girls'"
conscientiousness,10,"'ļ', 'erna', 'kennis', '택', 'onte'","'like', 'anyway', 'easy', '/******/', 'randomly'"
conscientiousness,11,"'colle', 'ژ', 'colleagues', '택', 'kennis'","'/******/', 'anyway', 'like', 'kinda', 'gonna'"
